x,x,x,x,x,x,x,x,f
0.29509,-1.6006,-0.80357,0.055143,-1.71,-1.278,0.89429,1.7146,0.64551
0.35785,-0.61837,0.014323,0.23006,1.0588,1.4373,-0.33886,0.62267,0.36223
1.1026,-0.28881,-1.1801,-0.95237,-0.72502,-1.4476,0.13841,1.5281,-0.88003
0.90979,0.22002,-1.2426,0.25142,-0.73546,-0.44466,-0.091618,0.48614,-0.41346
0.26439,-1.5598,0.29083,1.4834,0.88484,-0.84989,1.1487,1.4825,0.39756
0.89514,-0.0039422,0.53126,-1.5147,-0.38476,-0.89202,-1.6595,-0.35631,-1.9571
-1.1255,-1.5486,-0.73148,0.40805,-1.2309,-1.3366,-1.616,1.699,0.52103
-1.0658,1.193,-0.052871,1.2393,-0.62783,1.1111,1.4647,-1.0854,1.4588
-1.2891,-1.4795,-0.89925,0.3093,0.72712,-0.46269,-1.2106,1.5551,-0.91601
-0.91631,-0.72183,-1.0348,0.52407,1.18,-1.0924,1.111,-1.3217,0.72136
0.29655,0.97772,-1.5931,-0.29903,0.97621,-0.41074,1.687,-0.25979,-0.43371
1.5102,0.75126,1.6225,1.6027,-1.1422,1.6738,0.88482,-0.96623,2.1607
-0.63005,1.5142,0.4364,0.5291,-0.72275,-1.6447,0.90264,1.4611,1.0901
-1.0107,0.60506,1.5259,-1.1361,-1.3729,0.60175,-1.2201,0.23144,0.80054
-0.59138,-1.1979,-1.5243,0.98458,-1.1934,1.3088,-1.0459,-0.57582,-1.757
0.41309,0.25311,-1.3326,0.88915,-1.3655,-1.5717,-0.93017,1.1267,1.3612
-1.5235,0.29513,-0.0059152,1.6244,-1.6304,-0.73903,1.0026,-0.42842,-0.81532
1.3558,-0.0084533,-1.5562,-1.3827,0.19305,1.092,1.4856,-1.4839,-0.99381
0.73143,-0.44304,-0.7482,0.23578,-0.86428,-0.048214,-0.56859,-1.0459,-0.50005
0.92782,0.95118,-1.5868,-1.6934,-1.327,1.2713,1.2561,-0.76616,1.8286
-1.5797,-1.3783,-1.0893,1.4182,0.18371,0.29244,-0.48984,0.20264,0.58347
-0.61442,-0.52154,-0.19623,0.68461,-1.469,-1.6399,0.62234,-0.3729,0.85939
0.64315,1.0731,0.50396,0.57134,0.17499,-1.3757,1.692,0.57475,1.0765
-0.37868,-0.48536,1.6497,1.5587,-0.48507,1.2184,1.4556,-1.2843,1.9463
0.05924,-0.26252,-0.71978,-1.4429,0.34626,1.5596,1.3266,-0.9566,-1.6724
0.45796,-0.039358,0.3142,0.51659,-0.84426,0.78695,-0.60775,0.86506,0.1312
-1.095,-1.1906,-1.6119,-1.0744,1.4323,-0.68228,-0.42509,-0.079135,0.98621
0.54811,-0.58963,1.5211,-0.86119,-1.5457,0.91045,-0.4198,1.5155,0.20716
-1.3891,-0.10166,-0.39961,0.089215,-1.0984,-0.024284,0.52934,1.3392,0.096762
1.4927,0.61078,-0.79047,-1.5371,-0.671,1.1833,0.10115,1.3675,-0.5295
1.3826,0.86405,0.13352,-0.93077,-0.96566,-1.0427,-1.2822,0.43011,-0.095727
-0.2448,-1.6318,0.93395,0.55264,-0.10429,1.5857,-0.42124,-0.097358,-1.0084
0.8468,0.22589,-1.0625,1.4687,-1.1379,-0.55447,-1.416,1.3948,1.2458
0.48949,0.94973,0.10756,1.1648,-1.7118,0.26246,0.18809,1.1307,-0.23207
0.44666,0.83158,1.1455,0.53457,0.72543,-1.0697,1.3814,-0.024663,0.60659
-0.77423,0.09658,1.2219,0.95086,0.45483,0.077137,-1.036,-1.3575,-0.81451
1.1332,1.217,1.3764,1.7061,1.3137,-0.76316,0.83406,1.4103,0.6335
-0.037982,1.3372,-0.77202,1.7088,-1.0802,0.45834,0.95642,0.38734,-0.50902
1.3807,0.014313,0.71892,-1.5781,-0.13304,0.73054,-0.48665,-0.69887,0.46048
-1.4346,-1.5742,-0.17884,0.41017,0.72677,0.72351,0.085444,-0.22828,0.76074
-1.0239,0.090262,-0.20207,0.26788,-0.95287,0.46749,-0.63492,1.7098,0.58834
0.68059,1.6471,-0.58,-0.64886,-1.6001,-0.085737,-0.28541,-0.17906,-1.4497
-1.6647,-1.4629,1.0156,-0.27253,-1.3041,-0.21234,0.0016996,-1.0588,0.25835
-0.87075,1.4993,0.68321,1.6954,-0.92345,-0.80798,-0.23781,1.5589,1.2482
-0.86333,-1.6251,-0.55,-1.3743,-0.69686,-1.0463,-0.94423,-0.59105,-1.0821
1.6578,-1.0823,1.2374,-0.84592,-1.522,-1.6039,-0.097359,-0.22047,0.032034
-0.40378,0.25087,1.1633,0.90898,1.0594,-1.3443,1.5452,0.69243,-0.08815
1.6311,0.99729,1.1666,0.46937,-0.33793,0.028587,1.0963,0.77128,0.503
1.4403,-0.2564,-1.1288,-0.28978,0.1423,0.0112,-1.3753,-1.705,0.23935
-1.5338,-1.1128,0.83188,-0.15287,-1.7097,1.344,-0.9184,-0.038169,-0.10472
-0.30936,1.6671,-0.47655,0.0492,1.2189,-0.69567,-1.0421,1.1967,-0.75312
-0.43753,-0.49053,-0.072676,0.52385,-0.37008,1.1403,-1.3437,-0.10404,0.77341
-0.20829,0.79309,-0.89345,0.41587,-0.22813,-1.4458,-0.51833,-1.1202,0.46589
-0.93487,0.2517,-1.5317,1.212,1.4675,0.52291,0.43712,-0.65228,-0.065768
0.86496,-1.0331,0.017715,-0.90197,1.2816,-1.0208,0.69925,0.72907,0.044592
-0.40808,1.1896,1.5336,-1.0081,1.5818,1.3146,0.18063,-0.84938,-0.32552
-0.28348,-1.5912,-0.030031,-0.29863,-1.3072,-0.53564,0.50001,1.0828,0.10507
-0.26886,-0.52875,-1.4709,0.73097,-0.31404,-1.2389,0.26143,1.3567,0.46383
1.2297,1.2571,-1.4617,-0.2805,-0.30299,-0.97501,-0.36679,-0.41135,-0.28409
-1.1098,1.0197,0.27764,-1.5364,1.3981,0.75407,-0.93588,0.90091,-0.29491
0.029368,1.7008,-1.3438,-1.5548,-1.7035,1.0574,-1.7027,-0.23456,-1.8651
1.3168,-0.60364,1.2305,0.14214,-1.1552,-1.1142,-1.2708,-1.0258,0.27349
-1.527,1.1485,1.2726,0.25223,0.03752,-0.065217,-1.5763,-1.0225,0.44539
1.6836,-0.06849,-0.31383,-0.17019,-1.3456,0.72217,1.1758,-0.094338,0.99021
0.22337,1.6601,1.5468,0.44614,-1.1407,0.71737,0.76963,0.65728,-0.44392
0.53939,-0.82987,-0.0036562,0.78977,0.47355,1.5084,-0.065329,1.3717,-0.1655
-1.2157,0.067025,-1.1896,1.2158,1.2675,0.70553,1.7023,-1.7027,-1.186
-1.5968,-1.586,1.1314,-0.63286,0.95864,-1.1771,-1.5628,1.6182,-2.1185
-1.7098,1.1588,1.4108,1.4067,0.33834,0.30618,1.5979,-0.39657,0.48534
0.36159,-1.1822,0.95774,0.21484,-1.4902,-1.6452,1.2421,-0.24503,0.69649
1.2354,-0.76858,-0.56417,-0.25046,-0.75051,-0.13809,-1.4352,0.40459,-0.20863
1.5188,0.91143,0.51899,1.5808,0.57325,1.1057,-1.3477,-0.018101,0.95897
0.39856,0.010194,1.4672,1.526,-1.7152,0.18092,-1.2089,0.086766,0.94019
0.80981,-0.17746,-0.98923,-0.74189,-0.065828,0.90021,0.73172,1.4994,0.26161
1.4341,-0.18532,1.383,-1.3102,-0.54442,1.1388,0.035698,-0.30687,0.26874
1.084,1.0127,-1.4622,-0.65042,-1.223,-0.11054,1.3359,1.5842,-1.9544
-1.0235,0.081183,1.6,-0.051692,0.65794,0.21873,-0.2164,-0.16514,-0.18561
-1.7158,0.53408,0.33223,-0.077955,-0.83556,1.4364,-0.91567,-0.54871,0.08143
0.0060476,-0.39375,0.33442,1.1086,1.6364,1.1595,-1.0626,-1.1275,-0.9762
-1.2112,-0.10422,0.20178,0.51532,0.48126,-1.1208,1.4709,0.83404,1.1451
0.0055859,-1.6687,-0.43779,-1.0783,-1.4773,1.1124,0.37343,-0.60503,1.8001
1.4133,-0.94125,-0.24498,-1.3479,1.269,-1.4413,0.67307,-1.3403,0.59863
1.5913,-0.71367,1.3687,-0.070558,0.12934,0.17428,-0.054798,1.2874,-0.16744
-0.37513,0.29493,1.2915,0.59546,-0.31922,-1.6066,-0.34546,-0.10509,1.0891
0.53727,0.94117,0.98846,0.60419,-0.03358,-0.93092,0.37384,-1.3652,0.09562
-0.96208,-0.60814,-0.34037,-0.97705,0.23443,-0.493,-0.64722,-0.24305,0.52935
-0.21963,-1.355,0.46716,0.87933,-1.6211,-0.55067,1.3121,1.0807,-0.014152
0.32516,1.3028,-0.34022,0.81969,1.324,-0.019479,0.53674,-0.76454,0.6031
0.94896,-0.40119,1.3599,-1.2966,0.99475,-0.21553,0.72908,0.36258,0.17296
-1.3731,-0.16344,-1.7244,1.2433,0.49981,-1.2796,1.2276,-0.038806,0.59659
-1.1845,-0.73988,-0.32563,-0.0052026,-0.99486,0.26416,0.56456,1.4283,0.12912
-0.55411,0.55412,0.37403,-1.3639,-0.025052,1.1423,0.028888,-0.34059,1.0657
1.5366,0.47925,1.0501,-0.31855,-0.93782,-0.65534,-0.31189,-1.6065,-0.32607
0.10897,0.8221,0.78828,0.84996,-1.3344,1.0498,-0.62243,1.7405,0.3049
-0.53619,-0.76114,1.1202,0.26494,-0.7773,0.37837,1.1425,0.64258,-0.78145
-0.3682,1.3383,-0.40034,0.43662,0.10053,0.93293,-0.37633,1.1114,0.81476
1.0965,-0.93339,-1.3031,-1.579,-0.92024,1.4894,1.4112,1.1156,1.5877
0.40866,0.36074,-0.23955,1.3317,-0.55029,1.3118,1.2423,1.2742,-0.86301
-0.04183,1.3631,-1.1704,-1.127,-1.1005,1.1514,-1.653,-1.4097,-1.266
-0.21798,1.7142,-0.44476,-1.4265,-1.1709,1.6357,1.192,1.5508,1.3671
-0.91963,-0.10851,-1.2859,-0.45976,0.3541,0.18661,0.44001,-0.62138,0.72546
-0.26875,-1.6298,0.12832,-0.67998,-1.5589,0.15371,-0.56127,-0.074855,-0.44008
-1.1614,0.34519,0.38171,0.13323,0.072628,1.4588,0.92523,0.23564,-2.1869
0.59971,-0.68716,1.464,0.19876,0.58498,-1.5462,1.6259,0.13817,-0.33302
-1.7211,0.48533,-1.3628,-0.14853,-1.3585,1.2529,1.325,1.1492,0.62452
0.68694,1.4206,-1.0321,1.2057,1.2431,-0.22291,-0.58029,1.2757,0.31614
-1.7285,0.65815,1.6012,1.4143,0.2445,1.5019,-1.5826,1.0968,-1.1966
-0.98227,-0.75983,0.4585,0.37728,0.17139,0.69983,-1.2264,0.13406,1.4792
0.64247,1.1579,1.389,-0.38064,0.65308,1.3976,-0.76245,0.62529,1.2308
-0.86789,-1.3091,0.53275,-0.072528,-0.63829,1.7166,-1.199,-1.1221,-0.1395
1.3155,-0.63711,-0.26009,0.37424,0.32655,-1.3051,-0.99861,-0.61203,0.018902
0.8702,1.0496,-0.13817,0.43501,-0.91675,0.25266,-1.5055,-0.10359,0.76484
-1.5595,-0.34321,1.6266,-0.86156,1.3891,-1.4755,-0.53716,0.063035,0.03483
-1.72,1.7205,0.94058,0.34558,0.8077,-1.0251,0.16785,0.78061,0.49088
1.2318,-0.83023,0.91355,1.3108,1.3918,0.39869,-1.3676,0.62268,0.013837
-0.061802,-0.76228,0.95647,1.5335,0.84062,0.59213,-1.0964,0.33267,-0.30331
0.8949,-0.75317,-0.13468,-0.39952,1.2254,0.16464,1.3834,-0.73505,-0.23067
1.0762,0.020068,-0.6099,-0.19539,0.58056,1.2496,0.37576,-1.0701,-1.1885
0.47113,-1.4673,1.5725,-1.4549,-1.673,0.64804,0.50266,-0.5545,0.089346
1.207,1.3491,0.64946,-0.8291,-1.1936,0.045021,0.007091,1.5418,-0.65941
1.1624,0.89979,-0.038495,-1.6824,0.78844,-1.0924,0.93705,-1.4928,0.86954
-0.79986,-1.5288,-1.056,1.6669,-0.53281,-0.71786,0.94301,0.19138,-1.1203
0.15901,-0.75704,-1.3447,0.167,-0.3281,-0.36844,0.84115,1.0369,0.11862
1.5598,0.45183,1.4474,-0.17915,1.1226,0.035454,-0.74182,-0.31882,0.57048
-0.40383,-1.0938,1.0665,0.24227,0.81909,-0.22769,-1.1473,-0.013871,0.6924
1.2435,-1.4095,1.576,0.79469,-1.3698,-0.020448,-0.72655,1.0828,0.59124
1.6545,-0.55563,0.94209,1.1992,0.41431,0.63493,0.33804,1.5146,-0.26197
-0.59967,-0.051444,1.4153,1.1548,1.3077,-0.64077,-0.15599,-0.4478,-0.34311
0.60603,0.28234,0.27702,-1.2017,-1.6282,1.5163,0.46684,0.59275,1.0077
0.82714,-0.11617,-0.94676,0.66079,-0.66781,1.0194,-0.73765,0.086108,-0.78493
-0.68201,1.1331,0.14671,0.43433,-1.1135,0.16028,1.0672,1.0794,-1.0331
-0.13602,-0.69372,0.76751,-0.68936,1.0812,-0.12577,-0.63079,-0.7178,0.36183
-0.036976,-1.3131,0.77099,0.092748,-0.8559,1.4312,1.359,-0.022676,-1.1807
1.0661,-1.5334,-0.25975,-0.18068,-1.2839,1.3415,0.2373,-0.5547,0.76445
0.74358,-0.44589,0.069169,-0.9172,-0.87722,-0.16889,-1.4579,0.53463,-1.2603
-1.5009,-1.0921,0.7311,-1.4654,-0.38173,0.57778,-1.5785,-1.6161,0.34153
0.62515,0.25132,0.49274,-1.4894,-0.26852,0.79616,-0.71393,1.1521,-0.44935
-1.0483,0.33004,0.33892,-0.6864,-0.4059,-1.5027,-0.034051,1.0602,-1.1394
-1.5012,-1.4532,-1.3141,0.18091,0.97109,1.6065,0.3791,-0.017257,-0.80411
-0.28038,1.1434,-0.074656,1.5897,1.418,0.54343,-0.1481,1.3164,0.96141
-0.29639,0.16952,-0.80042,-1.5292,-1.4483,0.8932,-1.1815,-0.38045,-1.6678
1.5531,-0.35747,-0.97893,-1.0518,1.1733,-0.62383,0.62349,0.22891,1.3318
1.5386,-0.9323,-1.1972,-1.2107,1.3159,-0.41266,-0.38996,0.21354,0.52322
-0.31542,1.4973,0.65187,-0.59475,-0.22417,-0.39816,-0.38724,0.96116,0.54551
-0.63202,1.0495,0.98218,1.0249,0.69844,1.6122,-0.095095,1.1642,-1.1166
0.77541,0.39555,-1.0968,-0.11268,1.6392,-1.228,0.78573,1.4495,-0.00028143
1.4553,-0.56237,1.4323,-0.74893,-0.92283,0.088205,-1.4251,1.3805,-0.11302
1.255,-0.78042,0.32513,0.91119,0.10039,-1.7199,0.65248,1.4441,0.22594
0.98966,0.82832,0.57102,0.40282,1.6067,1.1887,0.4721,1.3028,0.26274
-0.019622,0.54507,0.30522,-1.429,-1.5591,1.0325,1.0251,-0.30024,1.7043
-1.3856,-0.11793,0.62227,1.1318,-1.5246,-0.11203,0.60003,0.19874,-0.13267
1.1536,-1.0671,0.69852,-1.2457,-1.4007,-1.0859,0.63071,0.59105,-0.71642
-0.061337,-1.6325,-0.5994,-0.21575,-1.1641,-0.098684,0.2575,-0.24717,-0.22756
0.81356,-1.6472,1.5547,-0.54343,1.0654,-0.73154,1.682,-1.3081,-1.0728
0.19935,0.57549,0.66638,-0.085738,0.94549,-0.77816,0.86456,0.39866,1.1092
-0.15477,1.1559,0.5863,0.911,-1.3241,0.63971,-0.010415,-1.1231,-1.6616
1.3934,-0.3864,-0.28,0.059979,-0.65575,-1.6915,0.14398,1.7166,-0.78823
1.5723,-0.46122,-0.62762,-0.80576,-0.47927,0.91518,0.50456,1.4655,0.38876
-0.51784,0.17917,-0.081968,0.35515,0.70738,-1.6755,-0.52407,-0.94735,0.69039
-0.12295,0.8486,1.679,0.11172,1.1518,-0.39998,1.0432,0.5879,0.33992
-0.46486,-1.2861,-1.027,0.87948,-1.2045,1.2653,-1.6244,-0.46811,-0.9001
-0.45053,-0.064,0.0012116,1.1708,0.13022,1.382,-0.0091669,1.0384,-1.1304
-0.21888,-1.5564,-0.85642,-1.0495,1.4597,0.80142,-0.80473,-0.54547,1.8872
-1.5848,-1.1204,-0.55866,-0.36585,1.3824,0.19366,-0.65297,-1.0627,1.8257
-1.5043,0.57016,1.3785,-1.3707,-0.7027,-0.28375,-1.005,-0.31345,0.4108
-0.153,-0.33768,1.3189,0.74399,-0.92616,-0.98139,1.618,-1.7307,-0.81441
-0.79184,0.80462,-1.2548,0.88324,-0.52402,0.517,0.10409,-1.3402,-1.0047
0.63696,-0.90534,0.40749,1.223,-0.4155,1.4497,1.0187,0.16604,-0.87191
-1.5594,-0.96641,-1.0368,0.61723,-1.5334,0.44101,0.27759,0.5356,-1.5433
1.2879,-0.7732,-1.224,-0.30262,0.99399,1.0624,1.494,-0.88714,-2.2231
1.4935,0.33618,0.28022,-1.5219,-1.0721,-0.49541,0.82295,0.37545,-0.47825
0.60205,1.575,1.6974,-0.2989,-1.0556,-0.75178,1.2698,0.7509,0.83797
0.9957,1.1501,-1.0972,1.5569,-1.3594,-1.1061,-1.212,-1.5461,0.26066
-1.1499,-0.59302,-1.2966,-0.56943,1.1701,-0.95459,-0.25253,-1.1857,1.4983
-0.11263,1.1806,1.0324,-1.0505,-1.5491,-1.1322,1.6109,-0.38677,0.23175
1.1121,1.1628,-1.1895,0.21347,0.022587,1.2919,1.1015,-0.40341,-0.030772
-1.2019,0.36421,-1.2458,-1.0827,1.6903,1.7122,0.5351,-0.18966,-0.55321
-1.2371,0.084314,-0.40515,-1.1277,-0.83784,0.7063,-1.1056,-0.29954,0.0078332
0.4347,-0.96024,0.57089,0.31732,-0.98341,1.6982,-0.91315,0.31599,-0.12201
1.4218,1.4706,-1.5387,0.8867,-1.3793,-1.0204,0.14566,-0.43603,-1.4635
-0.42643,0.67071,1.6028,-0.078187,-1.3254,-0.35654,-0.54962,1.6787,0.98107
-0.15335,1.674,1.6345,0.87706,1.1957,-0.047996,-0.033129,-0.40244,0.39549
-0.52765,0.48428,0.16493,-1.6827,-0.37556,-0.33144,-0.85881,-0.77622,-0.64235
0.5763,1.6177,0.64464,-0.083319,1.1701,-0.77251,1.446,-1.3675,0.38295
0.65785,-1.6808,0.64669,1.1617,-0.5466,0.15202,-1.4981,-0.61922,1.1635
0.84059,0.33368,-1.2858,0.43355,-0.1909,-0.71361,1.0246,1.1419,-0.26948
0.62824,1.706,-0.25589,0.40263,0.45291,0.32347,1.3353,0.79902,0.74315
-0.88427,1.2774,0.39174,1.4671,0.37581,-1.4103,0.065856,0.38604,1.0186
-0.22449,-1.6443,0.063538,0.36404,1.0159,0.79122,-0.31072,-1.3524,-0.39239
-0.94555,-1.5508,-0.035062,-0.2451,-0.53726,1.141,-0.20625,-1.0312,0.11697
-1.0019,-0.40812,-0.22308,0.47661,-0.029938,0.73077,0.34141,0.22781,-0.0013262
-1.114,-0.18665,-1.4763,-0.95115,-1.3529,0.65233,1.5782,0.62635,1.0276
0.72192,1.5563,-0.60514,-0.41915,1.0497,-1.5837,1.5182,-1.4455,1.282
